Date,Open,High,Low,Close,Volume,weighted price,trades
29-Jul-17,2777.01,2785.65,2631.78,2680.56,10782.22,2704.43,
28-Jul-17,2666.33,2825,2655.82,2777.01,14069.5,2748.91,
27-Jul-17,2524.99,2695,2509.63,2666.33,11826.48,2576.5,
26-Jul-17,2564.74,2608.96,2400,2524.99,17713.67,2489.12,
25-Jul-17,2759.95,2775.79,2450,2564.82,21326.55,2584.61,
24-Jul-17,2756.8,2800,2701,2759.98,10001.92,2755.74,
23-Jul-17,2824.82,2855,2640,2749.02,11001.96,2755.03,
22-Jul-17,2667.01,2882,2644.59,2832.71,12819.63,2792.99,
21-Jul-17,2880,2887.45,2611.39,2670,20724.16,2724.18,
20-Jul-17,2265.51,2938,2265.51,2875.03,30989.89,2594.03,
19-Jul-17,2308.82,2402.5,2223,2265.21,17009.88,2307.39,
18-Jul-17,2226,2392,2164,2303.71,25204.49,2288.64,
17-Jul-17,1917.72,2229.97,1910.57,2226,26448.5,2081.68,
16-Jul-17,1970.51,2044.44,1830,1917.63,25562.71,1917.27,
15-Jul-17,2209.44,2219.99,1967.65,1970.51,19886.68,2058.01,
14-Jul-17,2340,2357.84,2140,2213.37,12659.02,2237.63,
13-Jul-17,2383.97,2425.16,2312.93,2339.99,8429.85,2367.53,
12-Jul-17,2301.55,2408.84,2239.54,2388,12883.55,2348.44,
11-Jul-17,2326.12,2399,2242.62,2305.98,17580.96,2340.37,
10-Jul-17,2504,2527.88,2261.85,2323.45,17296.34,2408.07,
09-Jul-17,2550.13,2564.65,2500.5,2502.28,4483.14,2534.48,
08-Jul-17,2501.46,2555,2462,2550.07,5405.89,2512.9,
07-Jul-17,2599.01,2605,2475,2501.46,9430.62,2531.18,
06-Jul-17,2598.37,2614,2522,2600.39,8333.98,2583.35,
05-Jul-17,2594.52,2623,2530.1,2602.9,10882.84,2568.3,
04-Jul-17,2540.07,2639.47,2540.07,2596.12,9662.76,2598.38,
03-Jul-17,2504.81,2595,2472.68,2550.47,11520.71,2535.76,
02-Jul-17,2421.3,2528.72,2374.34,2504.37,8744.53,2445.67,
01-Jul-17,2465.48,2517.11,2390,2412.41,8885.89,2447.76,
30-Jun-17,2538.41,2564.58,2451,2465.49,8715.72,2518.28,
29-Jun-17,2550.99,2594.78,2500.31,2541.59,8125.38,2556.32,
28-Jun-17,2565,2593,2468.01,2559.9,12274.55,2534.19,
27-Jun-17,2421.21,2565,2291,2565,19129.6,2392.87,
26-Jun-17,2502.26,2550.03,2315.01,2421.22,22094.21,2448.42,
25-Jun-17,2557.66,2635.72,2432,2502.03,10339.57,2538.78,
24-Jun-17,2685.05,2724.96,2512.13,2557.66,13342.82,2619,
23-Jun-17,2713.48,2745,2657.46,2685.05,8232.48,2714.62,
22-Jun-17,2658.67,2740,2594.61,2713.48,10792.79,2682.89,
21-Jun-17,2734.03,2789,2611,2657.04,15676.32,2698.65,
20-Jun-17,2598,2783,2581,2740,15891.7,2676.75,
19-Jun-17,2516.98,2598,2480.96,2598,10570.67,2555.36,
18-Jun-17,2630.06,2665,2460.62,2516.98,9424.23,2549.14,
17-Jun-17,2484.68,2674.4,2420.53,2630,11142.99,2563.93,
16-Jun-17,2424.96,2540,2307.66,2484.68,13802.39,2451.15,
15-Jun-17,2451.42,2516.2,2120,2424.91,36751.09,2311.58,
14-Jun-17,2705.99,2801,2320,2450,29478.82,2582.02,
13-Jun-17,2656.97,2783.62,2638.62,2703.02,16275.83,2716.76,
12-Jun-17,2954.23,2980,2480.03,2667.06,31534.95,2720.77,
11-Jun-17,2899.01,2967.46,2861.53,2954.22,6830.61,2911.89,
10-Jun-17,2818,2912.98,2800,2899.99,9593.36,2859.77,
09-Jun-17,2805.46,2868.23,2780.43,2822.32,8036.31,2824.82,
08-Jun-17,2680.24,2815,2613.13,2806,13251.41,2749.14,
07-Jun-17,2875.71,2893.28,2612.5,2683.03,16967.04,2782.18,
06-Jun-17,2698,2933,2689.4,2880.74,26695.67,2818.78,
05-Jun-17,2530.27,2699.35,2525.28,2698,12221.44,2611.74,
04-Jun-17,2538.1,2569,2460,2530.27,8828.62,2521.73,
03-Jun-17,2488.94,2584.34,2445,2540.94,10810.58,2524.85,
02-Jun-17,2413.58,2489,2370.03,2488.94,12428.7,2428.74,
01-Jun-17,2298.01,2456.39,2296.81,2413.63,18401.66,2390.57,
31-May-17,2201.7,2334,2154.28,2298.01,16279.29,2264.38,
30-May-17,2290.18,2339.08,2160,2203.51,13888.85,2263.3,
29-May-17,2172.54,2350,2110,2292.1,12129.28,2257.02,
28-May-17,2042.89,2313.96,2041.48,2178.81,15375.22,2188.92,
27-May-17,2280.7,2339.94,1850,2042,26216.28,2064.12,
26-May-17,2277.01,2599.12,2060,2279.82,28326.82,2346.41,
25-May-17,2420.29,2760.1,2221,2292.53,32964.76,2518.72,
24-May-17,2265.9,2481.75,2264.64,2420.29,22144.6,2383.53,
23-May-17,2088.76,2275,2088.45,2264.23,14138.92,2202.42,
22-May-17,2017.55,2230.34,2001,2099.97,16338.54,2113.72,
21-May-17,2013.99,2063.11,1961.52,2017.55,6755.83,2020.04,
20-May-17,1959.09,2021,1914,2013.99,12309.95,1969.83,
19-May-17,1879,1969.99,1874.99,1958,14124.62,1927.05,
18-May-17,1779,1881.8,1766.33,1878.99,11916.12,1826.61,
17-May-17,1700.01,1840.42,1670.01,1782.99,17797.32,1775.47,
16-May-17,1706.07,1750,1641.22,1700.01,16554.09,1706.85,
15-May-17,1782.3,1784,1682.56,1705.48,13316.8,1723.51,
14-May-17,1776.8,1815,1753,1784,4816.73,1782.44,
13-May-17,1690.33,1785.82,1601.46,1776.89,10532.23,1689.79,
12-May-17,1830.85,1832,1650,1691.51,17062.84,1749.79,
11-May-17,1774.52,1892,1745.01,1828.45,14740.22,1831.54,
10-May-17,1720.26,1794.21,1682,1772.58,11265.38,1748.5,
09-May-17,1649.55,1760.4,1616.05,1720.28,16807.73,1710.02,
08-May-17,1554.38,1653.97,1554.38,1649.54,19262.35,1591.3,
07-May-17,1554.04,1565,1525,1554.01,7667.79,1540.16,
06-May-17,1515.39,1578.97,1505,1558.02,7901.14,1541.43,
05-May-17,1537.36,1609,1495,1514.9,15603.68,1554.61,
04-May-17,1503.25,1623.01,1444.94,1537.23,19548.53,1540.55,
03-May-17,1447.75,1516.04,1431.02,1503.22,11077.59,1478.69,
02-May-17,1390.86,1481.73,1388,1447.75,8920.69,1438.93,
01-May-17,1348.88,1425,1341.22,1390.86,8604.41,1385.7,
30-Apr-17,1336.77,1356,1315.68,1350.21,3536.18,1334.38,
29-Apr-17,1333.93,1342.8,1316,1333,3927.45,1330.66,
28-Apr-17,1331,1347.02,1299,1330.7,8234.28,1321.61,
27-Apr-17,1287.92,1342.02,1285,1331.53,6669.99,1320.85,
26-Apr-17,1271.4,1330,1265,1287.99,8707.64,1293.83,
25-Apr-17,1253.57,1280,1251.07,1269,5249.77,1266.96,
24-Apr-17,1242,1254,1234,1253.58,3048.69,1242.67,
23-Apr-17,1231.85,1248.99,1223.42,1241.99,2604.72,1236.21,
22-Apr-17,1243.6,1247.15,1199,1233.2,4173.28,1228.52,
21-Apr-17,1234.93,1252.32,1231.65,1243.61,5023.04,1241.65,
20-Apr-17,1203.98,1243.88,1201.66,1234.19,5972.94,1222.57,
19-Apr-17,1202.59,1209.99,1190,1203.98,6046.52,1198.69,
18-Apr-17,1176.59,1210,1175.95,1202.58,5514.18,1203.58,
17-Apr-17,1162.31,1192.5,1161,1176.54,3568.83,1179.8,
16-Apr-17,1171,1179.3,1150,1162.31,2663.99,1161.7,
15-Apr-17,1169.53,1192.5,1165,1173.45,1804.45,1179.34,
14-Apr-17,1172.56,1193,1142,1170.34,8982.77,1166.19,
13-Apr-17,1212.16,1219.45,1141,1172.91,7135.3,1178.76,
12-Apr-17,1218.99,1224.57,1208,1212.17,3475.19,1215.72,
11-Apr-17,1209.99,1229,1198.02,1218.99,3487.75,1212.77,
10-Apr-17,1205.2,1219.71,1195,1209.25,3656.82,1207.78,
09-Apr-17,1184.05,1216.87,1173.98,1206.2,4817.42,1196.69,
08-Apr-17,1190.66,1197.3,1166.66,1184.03,2720.8,1185.04,
07-Apr-17,1190.72,1202,1176,1190.66,5450.27,1190.16,
06-Apr-17,1134.86,1201.37,1134.36,1190.85,9134.3,1170.38,
05-Apr-17,1143,1145,1111,1134.58,5588.98,1127.15,
04-Apr-17,1146.42,1162.93,1118.85,1143,7420.87,1141.62,
03-Apr-17,1076.59,1152,1076.19,1144.77,11076.86,1127.36,
02-Apr-17,1083.95,1100,1066.49,1078.01,7639.9,1083.09,
01-Apr-17,1071.34,1097,1061.64,1083.94,5209.13,1078.36,
31-Mar-17,1033.79,1081,1031.43,1070.31,12058.79,1054.11,
30-Mar-17,1037.29,1050.17,1017.14,1033.7,8645.38,1031.69,
29-Mar-17,1042.83,1059.43,1008.16,1035.96,9379.72,1031.58,
28-Mar-17,1039.09,1068.26,1014.9,1043.99,9115.52,1046.4,
27-Mar-17,959.08,1043,952.95,1039.92,8687.09,1007.68,
26-Mar-17,956.02,997,937.52,960,9012.92,970.09,
25-Mar-17,928.1,963.36,891.33,956.02,13507.44,923.17,
24-Mar-17,1030.84,1032,920,929.06,16072.42,976.65,
23-Mar-17,1037.6,1054.4,1010.69,1029.65,5917,1036.78,
22-Mar-17,1114.39,1114.39,988,1037.56,14521.26,1037.17,
21-Mar-17,1036.23,1117.9,1034.92,1114.39,11125.5,1084.72,
20-Mar-17,1012.88,1053,1010.01,1035.96,7497.91,1035.58,
19-Mar-17,969.4,1063.7,969.4,1017.97,12201.86,1010.79,
18-Mar-17,1068.16,1099,944.36,969.4,21292.6,1011.89,
17-Mar-17,1172,1173.23,1063,1071.02,16704.57,1120.12,
